微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
HsTrS7MVj,ArcBlock 的愿景与 Khipu 一致，技术线路不尽相同。有意思的是我在它的技术培训系列中看到了 Erlang 和 Elixir。ArcBlock 一周年  ,无,无,2019-05-06 08:14,微博 weibo.com,9,5,4
HsSDdCrlE,我想好了一个点对点对等的完全分布式区块链业务，它可以在经过一系列扩展后的以太坊上实现，它有不少技术上难点，而我应该能解决这些难点。  ,无,无,2019-05-06 06:09,微博 weibo.com,14,10,1
HsSvvfYZz,这个古老帆布背包的底部和背带都是皮质的，一般来说不宜用洗衣机洗，因为真皮如果浸水就可能完了。仔细想过后，不妨先打理皮革。用马毛刷和皮革皂清洁皮革，然后上一层油，而油能防水。接下来洗衣机设成冷水、柔和档，装洗衣袋直接扔进去洗。洗完倒挂晾干就是图片的样子，上的油也还在。  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fly1g2r5qlulacj21w02iob2b.jpg,无,2019-05-06 05:50,iPhone客户端,8,7,3
Hswy4qgvB,回来第三天，一觉睡了 30 多个小时。  ,无,无,2019-05-03 21:56,iPhone客户端,5,4,5
Hs8g4bkcs,回到家了，洗完澡，还可以晒一会太阳。 加拿大·维多利亚市  显示地图 ,无,加拿大·维多利亚市,2019-05-01 08:05,iPhone客户端,14,0,0
HrUjjhBfC,想买一些橡皮筋，不抱什么希望地去了附近的一家便利店。店员听完先说了句 “没有”，接着好像想起了什么拉开了收银台的抽屉，里面有一包橡皮筋。问 “你要几根”，我说 “全部都要”，然后就拿到了。  ,无,无,2019-04-29 20:35,iPhone客户端,5,0,3
HrRavypRX,昨天下午去国际俱乐部的金湖吃饭，遇上间歇性的交通管制。日坛路那段的南北口都是忽开忽闭，就是说，你得在开车到达这两路口时恰好遇上路口状态是“开”，否则只能重来。朋友遇上了“开”，先到了。我兜了三圈都是遇上“闭”，只好把车停到两公里外走过去。  ,无,无,2019-04-29 12:35,iPhone客户端,6,0,1
HrAktFBuN,"虽然未必在 Khipu 中用得上，但 hash table 如何省内存真的是太重要了。可能要翻墙看：Open-sourcing F14 for faster, more memory-efficient hash tables   http://t.cn/EShCx29  ",无,无,2019-04-27 17:43,iPhone客户端,19,36,4
HrA1Rx04y,思考转向到茫茫乱世中的无中心区块链后，尤其是怎么把一个传统业务整到上面，真的是脑洞大开。要面对各种坏人、坏事、怪人、怪事、还可能有怪兽，要从各种凶险混乱中理出秩序来…  ,无,无,2019-04-27 16:57,iPhone客户端,9,1,2
HrqdW0jic,#轻芒阅读#「cnBeta.COM | NetBeans 成为 Apache 软件基金会顶级项目」http://t.cn/EadxsKn  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fly1g2g3eabri4j20hs04j74i.jpg,无,2019-04-26 15:59,iPhone客户端,2,7,3
